458 lux
0 1518333714241633 1
1 1518333714442032 1
2 1518333714542002 1
3 1518333714742006 1
4 1518333714942079 1
5 1518333715144476 1
6 1518333715344428 1
7 1518333715542293 1
8 1518333715743982 1
9 1518333715944272 1
10 1518333716144481 1
11 1518333716344611 1
12 1518333716542150 1
13 1518333716744482 1.5
14 1518333716944750 1.5
15 1518333717145159 1.5
16 1518333717343266 1.5
17 1518333717542735 1.5
18 1518333717742908 1.5
19 1518333717942875 1.5
20 1518333718144511 1.5
21 1518333718342738 1.5
22 1518333718542855 1.5
23 1518333718742850 1.5
24 1518333718942900 1.5
25 1518333719142535 1.5
26 1518333719342634 2
27 1518333719544239 2
28 1518333719743458 2
29 1518333719943611 2
30 1518333720143253 2
31 1518333720343045 2
32 1518333720543601 2
33 1518333720743565 2
34 1518333720943620 2
35 1518333721143411 2
36 1518333721343395 2
37 1518333721543774 2
38 1518333721743317 2
39 1518333721943512 2.5
40 1518333722143891 2.5
41 1518333722343744 2.5
42 1518333722545536 2.5
43 1518333722743730 2.5
44 1518333722946232 2.5
45 1518333723143919 2.5
46 1518333723343831 2.5
47 1518333723544550 2.5
48 1518333723845991 2.5
49 1518333724044613 2.5
50 1518333724343890 2.5
51 1518333724443925 2.5
52 1518333724645603 3
53 1518333724846226 3
54 1518333725044165 3
55 1518333725244410 3
56 1518333725444825 3
57 1518333725644310 3
58 1518333725844516 3
59 1518333726045227 3
60 1518333726244510 3
61 1518333726444408 3
62 1518333726644955 3
63 1518333726844337 3
64 1518333727044720 3
65 1518333727245577 3.5
66 1518333727445729 3.5
67 1518333727644869 3.5
68 1518333727844843 3.5
69 1518333728047575 3.5
70 1518333728247463 3.5
71 1518333728444837 3.5
72 1518333728747136 3.5
73 1518333728845560 3.5
74 1518333729047316 3.5
75 1518333729344895 3.5
76 1518333729445184 3.5
77 1518333729745052 3.5
78 1518333729845134 4
79 1518333730045416 4
80 1518333730245970 4
81 1518333730446413 4
82 1518333730645613 4
83 1518333730846060 4
84 1518333731045370 4
85 1518333731245641 4
86 1518333731446803 4
87 1518333731645580 4
88 1518333731845514 4
89 1518333732045650 4
90 1518333732245424 4
91 1518333732445620 4.5
92 1518333732648257 4.5
93 1518333732846802 4.5
94 1518333733047547 4.5
95 1518333733246195 4.5
96 1518333733446106 4.5
97 1518333733647049 4.5
98 1518333733848450 4.5
99 1518333734045991 4.5
100 1518333734246796 4.5
101 1518333734446502 4.5
102 1518333734648549 4.5
103 1518333734846055 4.5
104 1518333735046073 5
105 1518333735246762 5
106 1518333735446765 5
107 1518333735646786 5
108 1518333735847550 5
109 1518333736046568 5
110 1518333736247108 5
111 1518333736447641 5
112 1518333736647626 5
113 1518333736848948 5
114 1518333737046602 5
115 1518333737248808 5
116 1518333737446517 5
117 1518333737749501 5.5
118 1518333737947188 5.5
119 1518333738047662 5.5
120 1518333738349993 5.5
121 1518333738447113 5.5
122 1518333738647938 5.5
123 1518333738847471 5.5
124 1518333739047182 5.5
125 1518333739247794 5.5
126 1518333739447016 5.5
127 1518333739647649 5.5
128 1518333739847068 5.5
129 1518333740047375 5.5
130 1518333740247331 6
131 1518333740447658 6
132 1518333740647793 6
133 1518333740847630 6
134 1518333741047637 6
135 1518333741247699 6
136 1518333741447615 6
137 1518333741647622 6
138 1518333741849141 6
139 1518333742049277 6
140 1518333742247962 6
141 1518333742447946 6
142 1518333742649683 6
143 1518333742848183 6.5
144 1518333743048595 6.5
145 1518333743250838 6.5
146 1518333743450363 6.5
147 1518333743648657 6.5
148 1518333743848579 6.5
149 1518333744050110 6.5
150 1518333744248419 6.5
151 1518333744450039 6.5
152 1518333744648668 6.5
153 1518333744848417 6.5
154 1518333745048520 6.5
155 1518333745248597 6.5
156 1518333745449800 7
157 1518333745649291 7
158 1518333745851253 7
159 1518333746051190 7
160 1518333746249220 7
161 1518333746449038 7
162 1518333746649225 7
163 1518333746848972 7
164 1518333747049194 7
165 1518333747251384 7
166 1518333747450891 7
167 1518333747649297 7
168 1518333747849290 7
169 1518333748050224 7.5
170 1518333748249755 7.5
171 1518333748452655 7.5
172 1518333748651574 7.5
173 1518333748851606 7.5
174 1518333749049908 7.5
175 1518333749255349 7.5
176 1518333749450357 7.5
177 1518333749651712 7.5
178 1518333749849765 7.5
179 1518333750051692 7.5
180 1518333750249324 7.5
181 1518333750451693 7.5
182 1518333750649810 8
183 1518333750851119 8
184 1518333751050607 8
185 1518333751252318 8
186 1518333751452158 8
187 1518333751651964 8
188 1518333751850137 8
189 1518333752052333 8
190 1518333752251155 8
191 1518333752451250 8
192 1518333752650221 8
193 1518333752852227 8
194 1518333753050336 8
195 1518333753250922 8.5
196 1518333753452888 8.5
197 1518333753650741 8.5
198 1518333753850812 8.5
199 1518333754051710 8.5
200 1518333754253026 8.5
201 1518333754452958 8.5
202 1518333754650950 8.5
203 1518333754850968 8.5
204 1518333755050874 8.5
205 1518333755250960 8.5
206 1518333755451256 8.5
207 1518333755651026 8.5
208 1518333755851212 9
209 1518333756053438 9
210 1518333756251025 9
211 1518333756453517 9
212 1518333756651492 9
213 1518333756853367 9
214 1518333757051405 9
215 1518333757253938 9
216 1518333757453328 9
217 1518333757651557 9
218 1518333757851861 9
219 1518333758051591 9
220 1518333758253830 9
221 1518333758451061 9.5
222 1518333758654868 9.5
223 1518333758851619 9.5
224 1518333759051654 9.5
225 1518333759252808 9.5
226 1518333759452738 9.5
227 1518333759653830 9.5
228 1518333759852248 9.5
229 1518333760052431 9.5
230 1518333760254016 9.5
231 1518333760452560 9.5
232 1518333760653897 9.5
233 1518333760853789 9.5
234 1518333761052072 10
235 1518333761253134 10
236 1518333761454580 10
237 1518333761654329 10
238 1518333761852721 10
239 1518333762052733 10
240 1518333762252371 10
241 1518333762454446 10
242 1518333762652455 10
243 1518333762854374 10
244 1518333763052608 10
245 1518333763254606 10
246 1518333763454473 10
247 1518333763654487 10.5
248 1518333763854939 10.5
249 1518333764054786 10.5
250 1518333764252754 10.5
251 1518333764455140 10.5
252 1518333764652782 10.5
253 1518333764855038 10.5
254 1518333765055512 10.5
255 1518333765255845 10.5
256 1518333765454498 10.5
257 1518333765653195 10.5
258 1518333765853376 10.5
259 1518333766053464 10.5
260 1518333766256488 11
261 1518333766453307 11
262 1518333766653628 11
263 1518333766853545 11
264 1518333767055201 11
265 1518333767253630 11
266 1518333767455418 11
267 1518333767653648 11
268 1518333767853521 11
269 1518333768055620 11
270 1518333768256672 11
271 1518333768455008 11
272 1518333768653667 11
273 1518333768853700 11.5
274 1518333769056174 11.5
275 1518333769256764 11.5
276 1518333769455463 11.5
277 1518333769654007 11.5
278 1518333769854434 11.5
279 1518333770055237 11.5
280 1518333770257163 11.5
281 1518333770455954 11.5
282 1518333770654623 11.5
283 1518333770854497 11.5
284 1518333771054087 11.5
285 1518333771256642 11.5
286 1518333771456005 12
287 1518333771655241 12
288 1518333771854814 12
289 1518333772054428 12
290 1518333772255626 12
291 1518333772456715 12
292 1518333772656786 12
293 1518333772854714 12
294 1518333773054941 12
295 1518333773256739 12
296 1518333773456514 12
297 1518333773654751 12
298 1518333773855212 12
299 1518333774055015 12.5
300 1518333774256316 12.5
301 1518333774456529 12.5
302 1518333774655420 12.5
303 1518333774855467 12.5
304 1518333775055498 12.5
305 1518333775257187 12.5
306 1518333775457132 12.5
307 1518333775655311 12.5
308 1518333775855871 12.5
309 1518333776057292 12.5
310 1518333776256389 12.5
311 1518333776456763 12.5
312 1518333776655709 13
313 1518333776856277 13
314 1518333777055891 13
315 1518333777255672 13
316 1518333777458096 13
317 1518333777655745 13
318 1518333777856046 13
319 1518333778056370 13
320 1518333778255561 13
321 1518333778457777 13
322 1518333778658342 13
323 1518333778855949 13
324 1518333779055935 13
325 1518333779257965 13.5
326 1518333779456701 13.5
327 1518333779656621 13.5
328 1518333779856247 13.5
329 1518333780058142 13.5
330 1518333780258277 13.5
331 1518333780458338 13.5
332 1518333780658310 13.5
333 1518333780856630 13.5
334 1518333781056697 13.5
335 1518333781258359 13.5
336 1518333781456735 13.5
337 1518333781656536 13.5
338 1518333781856885 14
339 1518333782058964 14
340 1518333782258861 14
341 1518333782457041 14
342 1518333782658890 14
343 1518333782856899 14
344 1518333783057146 14
345 1518333783257246 14
346 1518333783457167 14
347 1518333783657163 14
348 1518333783857289 14
349 1518333784057525 14
350 1518333784257611 14
351 1518333784457745 14.5
352 1518333784658334 14.5
353 1518333784857929 14.5
354 1518333785057765 14.5
355 1518333785257858 14.5
356 1518333785457870 14.5
357 1518333785657991 14.5
358 1518333785857909 14.5
359 1518333786057932 14.5
360 1518333786257880 14.5
361 1518333786457780 14.5
362 1518333786657893 14.5
363 1518333786858016 14.5
364 1518333787058081 15
365 1518333787258877 15
366 1518333787458453 15
367 1518333787658537 15
368 1518333787858495 15
369 1518333788058497 15
370 1518333788260152 15
371 1518333788458181 15
372 1518333788658553 15
373 1518333788858463 15
374 1518333789058485 15
375 1518333789258530 15
376 1518333789458519 15
377 1518333789658899 15.5
378 1518333789859002 15.5
379 1518333790058913 15.5
380 1518333790260600 15.5
381 1518333790458593 15.5
382 1518333790658861 15.5
383 1518333790858948 15.5
384 1518333791059020 15.5
385 1518333791258882 15.5
386 1518333791458749 15.5
387 1518333791658800 15.5
388 1518333791858705 15.5
389 1518333792060392 15.5
390 1518333792259169 16
391 1518333792459718 16
392 1518333792659529 16
393 1518333792859478 16
394 1518333793059435 16
395 1518333793259507 16
396 1518333793461293 16
397 1518333793659366 16
398 1518333793861356 16
399 1518333794059472 16
400 1518333794261337 16
401 1518333794461336 16
402 1518333794659662 16
403 1518333794860090 16.5
404 1518333795061601 16.5
405 1518333795259793 16.5
406 1518333795461671 16.5
407 1518333795659988 16.5
408 1518333795859816 16.5
409 1518333796059878 16.5
410 1518333796259877 16.5
411 1518333796461699 16.5
412 1518333796660222 16.5
413 1518333796860338 16.5
414 1518333797061734 16.5
415 1518333797260485 16.5
416 1518333797460681 17
417 1518333797660857 17
418 1518333797860565 17
419 1518333798060483 17
420 1518333798260653 17
421 1518333798460377 17
422 1518333798662405 17
423 1518333798860514 17
424 1518333799060429 17
425 1518333799260654 17
426 1518333799460719 17
427 1518333799662386 17
428 1518333799860645 17
429 1518333800061242 17.5
430 1518333800262835 17.5
431 1518333800460806 17.5
432 1518333800661085 17.5
433 1518333800860916 17.5
434 1518333801060999 17.5
435 1518333801260939 17.5
436 1518333801461036 17.5
437 1518333801661008 17.5
438 1518333801862851 17.5
439 1518333802061343 17.5
440 1518333802261196 17.5
441 1518333802461822 17.5
442 1518333802661558 18
443 1518333802862343 18
444 1518333803061531 18
445 1518333803263510 18
446 1518333803461669 18
447 1518333803663626 18
448 1518333803861190 18
449 1518333804061609 18
450 1518333804262014 18
451 1518333804461704 18
452 1518333804661987 18
453 1518333804862122 18
454 1518333805063518 18
455 1518333805262359 18.5
456 1518333805462624 18.5
457 1518333805662166 18.5
458 1518333805864016 18.5
459 1518333806062223 18.5
460 1518333806262252 18.5
461 1518333806462287 18.5
462 1518333806662166 18.5
463 1518333806861911 18.5
464 1518333807062058 18.5
465 1518333807262600 18.5
466 1518333807462473 18.5
467 1518333807662190 18.5
468 1518333807862597 19
469 1518333808063003 19
470 1518333808264531 19
471 1518333808464305 19
472 1518333808662789 19
473 1518333808862705 19
474 1518333809062783 19
475 1518333809262849 19
476 1518333809462802 19
477 1518333809663033 19
478 1518333809862581 19
479 1518333810063021 19
480 1518333810263121 19
481 1518333810462968 19.5
482 1518333810663986 19.5
483 1518333810865423 19.5
484 1518333811063254 19.5
485 1518333811262876 19.5
486 1518333811464105 19.5
487 1518333811663472 19.5
488 1518333811863460 19.5
489 1518333812064020 19.5
490 1518333812263535 19.5
491 1518333812463590 19.5
492 1518333812663971 19.5
493 1518333812863658 19.5
494 1518333813063965 20
